Id,Genre
tt0088330,"['Drama', 'Romance']"
tt0087004,"['Comedy', 'Sci-Fi']"
tt0088379,"['Adventure', 'Fantasy']"
tt0087464,"['Horror', 'Mystery', 'Sci-Fi']"
tt0088322,['Drama']
tt0088117,"['Horror', 'Thriller']"
tt0087054,"['Comedy', 'Drama', 'Romance']"
tt0088184,"['Comedy', 'Drama']"
tt0088318,['Drama']
tt0087197,"['Comedy', 'Drama', 'Music']"
tt0087884,['Drama']
tt0087956,"['Drama', 'War']"
tt0087688,['Drama']
tt0086985,"['Drama', 'Music', 'Musical']"
tt0087730,['Drama']
tt0087313,"['Comedy', 'Drama']"
tt0087260,['Comedy']
tt0086969,"['Drama', 'War']"
tt0088006,"['Adventure', 'Crime', 'Drama']"
tt0087722,"['Drama', 'Mystery', 'Thriller']"
tt0087072,['Comedy']
tt0086992,"['Drama', 'Romance']"
tt0088153,"['Drama', 'Music']"
tt0088046,['Comedy']
tt0088176,['Drama']
tt0085320,"['Biography', 'Drama', 'Romance']"
tt0087981,"['Horror', 'Thriller']"
tt0087096,"['Adventure', 'Comedy', 'Crime']"
tt0087995,"['Comedy', 'Crime', 'Sci-Fi']"
tt0088763,"['Adventure', 'Comedy', 'Sci-Fi']"
tt0089880,"['Action', 'Adventure', 'Thriller']"
tt0089927,"['Drama', 'Sport']"
tt0088939,['Drama']
tt0089755,"['Biography', 'Drama', 'Romance']"
tt0088933,['Sci-Fi']
tt0089370,"['Action', 'Adventure', 'Comedy']"
tt0090329,"['Crime', 'Drama', 'Romance']"
tt0089218,"['Adventure', 'Comedy', 'Family']"
tt0090056,"['Adventure', 'Comedy']"
tt0089822,['Comedy']
tt0089155,"['Comedy', 'Crime', 'Mystery']"
tt0090264,"['Action', 'Adventure', 'Thriller']"
tt0089670,['Comedy']
tt0089560,"['Biography', 'Drama']"
tt0088847,"['Comedy', 'Drama']"
tt0090319,['Drama']
tt0089767,['Western']
tt0089791,"['Adventure', 'Comedy', 'Family']"
tt0088850,['Comedy']
tt0089360,"['Crime', 'Thriller', 'Mystery']"
tt0090060,"['Drama', 'Romance']"
tt0089530,"['Action', 'Adventure', 'Sci-Fi']"
tt0088944,"['Action', 'Adventure', 'Thriller']"
tt0090142,"['Comedy', 'Fantasy']"
tt0090022,"['Action', 'Crime', 'Drama']"
tt0089643,"['Comedy', 'Drama', 'Romance']"
tt0089686,"['Fantasy', 'Horror']"
tt0089017,"['Comedy', 'Drama']"
tt0089841,"['Comedy', 'Crime', 'Drama']"
tt0089461,"['Action', 'Comedy', 'Drama']"
tt0088683,"['Drama', 'Mystery']"
tt0089175,"['Fantasy', 'Horror', 'Thriller']"
tt0090098,"['Comedy', 'Romance']"
tt0089087,"['Action', 'Adventure', 'Drama']"
tt0090305,"['Comedy', 'Romance', 'Sci-Fi']"
tt0088885,"['Animation', 'Adventure', 'Comedy']"
tt0088814,"['Animation', 'Adventure', 'Family']"
tt0088936,"['Action', 'Crime', 'Drama']"
tt0090274,['Comedy']
tt0090357,"['Adventure', 'Fantasy', 'Mystery']"
tt0090350,"['Action', 'Crime', 'Drama']"
tt0089457,"['Adventure', 'Drama', 'Fantasy']"
tt0090103,"['Comedy', 'Drama', 'Romance']"
tt0089348,"['Action', 'Thriller']"
tt0090180,"['Action', 'Crime', 'Drama']"
tt0087231,"['Biography', 'Crime', 'Drama']"
tt0089424,"['Drama', 'Romance']"
tt0089003,"['Action', 'Crime', 'Drama']"
tt0089421,"['Action', 'Adventure', 'Comedy']"
tt0088760,"['Family', 'Adventure', 'Sci-Fi']"
tt0088930,"['Comedy', 'Crime', 'Mystery']"
tt0089901,"['Action', 'Adventure', 'Comedy']"
tt0089907,"['Comedy', 'Horror', 'Sci-Fi']"
tt0088915,"['Drama', 'Music', 'Musical']"
tt0090184,['Comedy']
tt0089731,"['Family', 'Fantasy']"
tt0088889,"['Comedy', 'Horror', 'Thriller']"
tt0090270,"['Drama', 'Romance', 'Sport']"
tt0089886,"['Comedy', 'Romance', 'Sci-Fi']"
tt0089798,"['Drama', 'Romance']"
tt0088947,"['Comedy', 'Drama', 'Mystery']"
tt0090021,['Horror']
tt0089092,"['Action', 'Adventure', 'Drama']"
tt0089489,"['Action', 'Horror', 'Sci-Fi']"
tt0089393,"['Comedy', 'Romance']"
tt0089444,"['Comedy', 'Drama', 'Music']"
tt0089222,"['Action', 'Comedy', 'Mystery']"
tt0089853,"['Comedy', 'Fantasy', 'Romance']"
tt0089629,['Comedy']
tt0088680,"['Comedy', 'Crime', 'Drama']"
tt0088708,"['Action', 'Adventure', 'Romance']"
tt0088794,"['Comedy', 'Romance']"
tt0089504,['Comedy']
tt0089730,"['Comedy', 'Horror']"
tt0088846,"['Drama', 'Sci-Fi']"
tt0089114,"['Adventure', 'Comedy', 'Family']"
tt0089385,"['Family', 'Adventure']"
tt0090213,"['Action', 'Drama']"
tt0090110,"['Biography', 'Drama', 'Music']"
tt0090130,"['Action', 'Adventure', 'Crime']"
tt0089601,"['Comedy', 'Romance']"
tt0089543,"['Comedy', 'Thriller']"
tt0090151,"['Crime', 'Drama']"
tt0089981,"['Comedy', 'Romance']"
tt0090073,"['Action', 'Crime', 'Drama']"
tt0090223,"['Drama', 'Romance']"
tt0088979,"['Family', 'Sci-Fi']"
tt0089941,"['Action', 'Adventure', 'Drama']"
tt0089346,"['Comedy', 'Drama', 'Thriller']"
tt0090203,['Drama']
tt0090196,"['Comedy', 'Fantasy', 'Horror']"
tt0089893,"['Action', 'Adventure', 'Fantasy']"
tt0089272,"['Animation', 'Adventure', 'Family']"
tt0089208,"['Comedy', 'Music', 'Romance']"
tt0089264,"['Comedy', 'Drama', 'Romance']"
tt0089243,"['Action', 'Drama']"
tt0088757,"['Action', 'Crime', 'Thriller']"
tt0088960,"['Comedy', 'Romance', 'Sci-Fi']"
tt0089420,"['Adventure', 'Biography', 'Drama']"
tt0088993,['Horror']
tt0089877,"['Animation', 'Adventure', 'Family']"
tt0089572,"['Crime', 'Thriller']"
tt0090152,"['Documentary', 'Musical']"
tt0089652,"['Action', 'Adventure', 'Comedy']"
tt0089265,"['Comedy', 'Fantasy', 'Romance']"
tt0089881,"['Action', 'Drama', 'War']"
tt0090217,"['Action', 'Comedy', 'Drama']"
tt0088851,"['Fantasy', 'Horror', 'Romance']"
tt0090065,"['Adventure', 'Animation', 'Sci-Fi']"
tt0089167,['Comedy']
tt0089470,"['Action', 'Drama']"
tt0089883,"['Drama', 'Music', 'Musical']"
tt0089129,"['Drama', 'Musical']"
tt0089304,['Comedy']
tt0088765,['Comedy']
tt0089569,['Comedy']
tt0089555,['Drama']
tt0088987,"['Biography', 'Crime', 'Drama']"
tt0089869,"['Drama', 'Mystery', 'Sci-Fi']"
tt0089885,"['Comedy', 'Horror', 'Sci-Fi']"
tt0090293,"['Drama', 'Sci-Fi', 'Thriller']"
tt0088855,"['Documentary', 'Music']"
tt0090036,"['Comedy', 'Music', 'Romance']"
tt0088707,"['Drama', 'Sport']"
tt0088895,"['Action', 'Drama']"
tt0090310,"['Drama', 'Mystery']"
tt0089052,"['Biography', 'Comedy', 'Drama']"
tt0087130,"['Action', 'Sci-Fi']"
tt0089160,['Drama']
tt0089523,"['Comedy', 'Western']"
tt0089383,"['Comedy', 'Drama']"
tt0089622,"['Comedy', 'Sci-Fi']"
tt0089603,"['Biography', 'Drama']"
tt0089283,"['Action', 'Crime', 'Drama']"
tt0090095,"['Comedy', 'Drama', 'Thriller']"
tt0090112,"['Drama', 'Family']"
tt0089913,"['Adventure', 'Drama', 'History']"
tt0089839,['Comedy']
tt0089079,"['Drama', 'War']"
tt0089679,"['Drama', 'Horror', 'Thriller']"
tt0089034,"['Horror', 'Drama']"
tt0086876,"['Comedy', 'Drama']"
tt0089126,"['Comedy', 'Drama']"
tt0090323,"['Adventure', 'Thriller', 'Action']"
tt0089276,"['Drama', 'History', 'War']"
tt0090209,"['Comedy', 'Crime', 'Drama']"
tt0090037,"['Drama', 'Romance', 'Thriller']"
tt0089748,['Drama']
tt0089716,"['Biography', 'Drama', 'History']"
tt0092099,"['Action', 'Drama', 'Romance']"
tt0090555,"['Adventure', 'Comedy']"
tt0091763,"['Drama', 'War']"
tt0091326,"['Action', 'Family', 'Romance']"
tt0092007,"['Adventure', 'Comedy', 'Sci-Fi']"
tt0090685,"['Comedy', 'Romance', 'Sport']"
tt0090605,"['Action', 'Horror', 'Sci-Fi']"
tt0091129,"['Action', 'Adventure', 'Comedy']"
tt0091877,"['Comedy', 'Crime']"
tt0091042,['Comedy']
tt0090966,['Comedy']
tt0090863,"['Drama', 'Sport']"
tt0092005,"['Adventure', 'Drama']"
tt0091396,"['Comedy', 'Crime', 'Romance']"
tt0090859,"['Action', 'Crime', 'Thriller']"
tt0090633,"['Animation', 'Comedy', 'Drama']"
tt0091777,['Comedy']
tt0091187,"['Action', 'Comedy', 'Drama']"
tt0091738,"['Comedy', 'Drama', 'Fantasy']"
tt0091778,['Horror']
tt0091949,"['Comedy', 'Family', 'Sci-Fi']"
tt0091790,"['Comedy', 'Drama', 'Romance']"
tt0091064,"['Drama', 'Horror', 'Sci-Fi']"
tt0092086,"['Comedy', 'Western']"
tt0091419,"['Comedy', 'Musical', 'Sci-Fi']"
tt0090583,"['Comedy', 'Drama', 'Romance']"
tt0091875,"['Action', 'Comedy', 'Crime']"
tt0091541,['Comedy']
tt0091159,"['Comedy', 'Drama']"
tt0091167,"['Comedy', 'Drama']"
tt0091653,"['Comedy', 'Drama', 'Romance']"
tt0090830,"['Drama', 'Romance']"
tt0091306,"['Comedy', 'Romance', 'Thriller']"
tt0091217,"['Drama', 'Sport']"
tt0091991,"['Comedy', 'Romance']"
tt0092214,"['Comedy', 'Sport']"
tt0091149,"['Animation', 'Adventure', 'Family']"
tt0091188,"['Comedy', 'Drama']"
tt0091554,"['Crime', 'Mystery', 'Romance']"
tt0091278,"['Action', 'Thriller', 'War']"
tt0090886,"['Comedy', 'Drama']"
tt0092105,['Comedy']
tt0089118,"['Action', 'Thriller']"
tt0091080,"['Horror', 'Thriller']"
tt0091223,"['Comedy', 'Fantasy', 'Horror']"
tt0091059,"['Adventure', 'Family', 'Sci-Fi']"
tt0091295,"['Biography', 'Comedy', 'Drama']"
tt0090927,"['Action', 'Adventure', 'Drama']"
tt0091530,"['Adventure', 'Drama', 'History']"
tt0091225,"['Action', 'Adventure', 'Comedy']"
tt0091828,"['Action', 'Crime', 'Thriller']"
tt0090660,"['Action', 'Comedy', 'Crime']"
tt0092272,"['Drama', 'Romance', 'Sport']"
tt0091557,"['Adventure', 'Drama', 'Thriller']"
tt0092035,['Comedy']
tt0091680,"['Comedy', 'Romance']"
tt0091024,"['Drama', 'Thriller']"
tt0090887,"['Action', 'Comedy', 'Horror']"
tt0090655,"['Horror', 'Mystery']"
tt0091369,"['Adventure', 'Family', 'Fantasy']"
tt0090856,['Comedy']
tt0091637,"['Crime', 'Drama']"
tt0090774,['Comedy']
tt0091055,"['Action', 'Adventure', 'Comedy']"
tt0090728,"['Action', 'Adventure', 'Comedy']"
tt0092133,"['Comedy', 'Drama', 'Music']"
tt0091575,"['Action', 'Crime', 'Drama']"
tt0090917,"['Drama', 'Horror', 'Sci-Fi']"
tt0091474,"['Crime', 'Mystery', 'Thriller']"
tt0090756,"['Mystery', 'Thriller']"
tt0092226,"['Comedy', 'Crime']"
tt0091983,"['Comedy', 'Crime', 'Romance']"
tt0091445,"['Comedy', 'Drama', 'Romance']"
tt0091178,"['Horror', 'Comedy', 'Musical']"
tt0092076,"['Comedy', 'Horror']"
tt0090713,"['Comedy', 'Drama', 'Sport']"
tt0091814,"['Crime', 'Drama', 'Thriller']"
tt0091499,"['Action', 'Comedy', 'Horror']"
tt0090327,"['Horror', 'Mystery', 'Thriller']"
